Vehicle No,Vehicle Name  ,Company  ,Latitude,Longitude,Gps,Branch,Vehicletype,Gpsactualtime,Datetime,Status,Devicemodel,Speed,Imeino,Odometer,Poi,Immobilize State  ,Ign,Driver First Name,Angle,Sos,Externalvolt,Driver Last Name,Power,Location
MH48CB1389,--,SWM,19.4573,72.813735,ON,C,CamperVan,21-10-2024 09:52:02,21-10-2024 09:52:02,RUNNING,FMB920,7,352016706569324,3453579,--,--,ON,--,179,--,13.82,--,ON,"Shaikh Master Memorial Trust, Phool Pada Road, BK Vartak Chowck, Virar East, Virar, Maharashtra (NE)"
MH48C0282,--,SWM,19.4589183,72.8235266,ON,C,Crane,21-10-2024 09:51:52,21-10-2024 09:51:52,STOP,FMB920,0,352016706663440,5073344,--,--,OFF,--,48,--,13.1,--,ON,"Shree Jivdani Devi Mandir Trust School, Virar East, Virar, Maharashtra (SE)"
MH04FP2135,--,RTSVVMC,19.4496083,72.7980433,ON,RTSVVMC,CamperVan,21-10-2024 09:51:58,21-10-2024 09:51:58,RUNNING,FMB920,0,352016706609377,7079887,"0.29 km from GAGANGIRI COMP(RANPADA), BOLINJ, VIRAR (W)",--,ON,--,136,--,28.01,--,ON,"Muljibhai Mehta International School, Gokul Twp, Virar West, Virar, Maharashtra (SW)"
MH48C0082,--,SWM,19.4346516,72.7829266,ON,A,Forklift,21-10-2024 09:52:00,21-10-2024 09:52:00,IDLE,FMB920,0,352016706664679,7607173,--,--,ON,--,243,--,13.63,--,ON,"police Station Satpala, Satpala - Wagholi Rd, Pipri Dontalav, Virar West, Mardes, Maharashtra (NE)"
MH48CQ0648,--,SWM,19.4517516,72.8004633,ON,A,CamperVan,21-10-2024 09:52:02,21-10-2024 09:52:02,RUNNING,FMB920,0,352016706543287,2245681,2.96 km from Raj palace masjid,--,ON,--,302,--,13.59,--,ON,"State Bank of India, Sandeep House, Phase 1, Tirupati Nagar, Virar West, Virar, Maharashtra (SW)"
MH04BU1719 Z10,--,SWM,19.4048783,72.78106,ON,E,Crane,21-10-2024 09:51:42,21-10-2024 09:51:42,STOP,FMB920,7,352016706609393,11870829,--,--,OFF,--,170,--,12.89,--,ON,"Jivan Vikas Nagri Sahakari Pathpedi, Wagholi, Nalasopara West, Navale, Maharashtra (SE)"
MH49C0292,--,SWM,19.463655,72.8494083,ON,C,Forklift,21-10-2024 09:51:56,21-10-2024 09:51:56,STOP,FMB920,0,352016706551041,1253667,--,--,OFF,--,342,--,12.91,--,ON,"ISKCON VIRAR and GAUSHALA: Shri Shri Radha Brajsundarji Temple, Virar East., Virar Kaner Road, Hare Krsna Land, Bhatpada, Virar East, Virar, Maharashtra (SE)"
MH04FJ6600,--,SWM,19.453295,72.8046783,ON,A,Crane,21-10-2024 09:51:59,21-10-2024 09:52:00,IDLE,FMB920,0,352016706570363,8833042,--,--,ON,--,245,--,26.26,--,ON,"Masjid and Madarsa Talimul Quran, Tarannum apartment, Doghar Pada, Tirupati Nagar Phase II, Vartak Ward, Virar West, Virar, Maharashtra (SW)"
MH28D3300 Z12,--,SWM,19.4028366,72.8593866,ON,F,Forklift,21-10-2024 09:51:09,21-10-2024 09:51:10,STOP,FMB920,0,352016706590817,5626261,--,--,OFF,--,197,--,12.95,--,ON,"Nidhi Industrial Complex, Sativali Rd, 16, Sativali Rd, Phase 2, Golani Naka, Vasai East, sativli, Maharashtra (SW)"
MH48J0206,--,SWM,19.4167616,72.8194333,ON,D,Compactor,21-10-2024 09:52:01,21-10-2024 09:52:01,IDLE,FMB920,0,352016706543303,610375,1.63 km from Rehan Medical,--,ON,--,326,--,14.05,--,ON,"Arihant Shopping Centre, Nalasopara Station Road, Moregaon Talao, Oswal Nagari, Nalasopara East, Nala Sopara, Maharashtra (SE)"
MH48AY372 Z15,--,SWM,19.4103666,72.8778966,ON,G,Compactor,21-10-2024 09:52:00,21-10-2024 09:52:01,RUNNING,FMB920,10,352016706609963,3965661,--,--,ON,--,158,--,27.47,--,ON,"Vasai Phata(E), Tungarfata, Golani Naka, Vasai East, sativli, Maharashtra (NW)"
MH48G0599,--,SWM,19.4715366,72.8193566,ON,C,Forklift,21-10-2024 09:51:55,21-10-2024 09:51:55,STOP,FMB920,6,352016706554102,5169320,--,--,OFF,--,337,--,12.57,--,ON,"Quater Deck Restaurant And Bar, Narangi Bypass Road, Veer Savarkar Marg, Sai Nath Nagar, Virar East, Virar, Maharashtra (SW)"
MH04FJ7470,--,SWM,19.3819033,72.82043,ON,H,Crane,21-10-2024 09:51:43,21-10-2024 09:51:44,IDLE,FMB920,0,352016706590544,6969347,--,--,ON,--,105,--,26.89,--,ON,"DAGORA FOODS PRIVATE LIMITED, Shop No 4/5/6, IRIS CHSL, Mirchandani Gardens , Sun City, 100 Feet Rd, Navghar, Vasai West, Vasai-Virar, Maharashtra (SE)"
MH48AY245 Z17,--,SWM,19.3799983,72.81582,ON,H,Compactor,21-10-2024 09:52:00,21-10-2024 09:52:00,IDLE,FMB920,0,352016706590460,7277571,--,--,ON,--,220,--,27.41,--,ON,"PARIBHRAMAN of Indian Soil, Chulna Rd, Chulne, Vasai West, Vasai (w), Maharashtra (NW)"
MH48J495 Z3,--,SWM,19.392445,72.7823016,ON,B,Compactor,21-10-2024 09:51:57,21-10-2024 09:51:57,IDLE,FMB920,0,352016706543295,7596069,--,--,ON,--,77,--,14.25,--,ON,"Gass Phata Bus Stop, Gass Rd, Bhuigaon, Nalasopara West, Nala Sopara, Maharashtra (SW)"
MH04BU7735,--,SWM,19.4329733,72.8112233,ON,E,Crane,21-10-2024 09:52:00,21-10-2024 09:52:00,STOP,FMB920,14,352016706543139,8579403,0.81 km from Raj palace masjid,--,OFF,--,25,--,12.9,--,ON,"Sawant Chinese Corner, SHOP NO. 34, RELIABLE HEIGHTS, NEAR YASHWANT GAURAV COMPLEX, NALLASOPARA, WEST, Nalasopara West, THANE, Maharashtra (NW)"
MH48G0588,--,SWM,19.4567899,72.8092416,ON,A,Crane,21-10-2024 09:52:00,21-10-2024 09:52:00,RUNNING,FMB920,0,352016706543386,4799212,--,--,ON,--,349,--,13.81,--,ON,"Arihant Kirana and General Stores, Shop No1/2, Arihant Complex, B Wing, Vivs Collage Road,, Vartak Ward, Virar West, Mumbai, Maharashtra (SE)"
MH04BU7734,--,SWM,19.4036033,72.8598566,ON,D,Forklift,21-10-2024 09:51:59,21-10-2024 09:51:59,STOP,FMB920,9,352016706554052,4544562,--,--,OFF,--,210,--,9.24,--,ON,"Nidhi Industrial Complex, Sativali Rd, 16, Sativali Rd, Phase 2, Golani Naka, Vasai East, sativli, Maharashtra (SW)"
MH48CB0218,--,SWM,19.46826,72.8100816,ON,A,Forklift,21-10-2024 09:51:34,21-10-2024 09:51:34,IDLE,FMB920,0,352016706554037,7577219,--,--,ON,--,163,--,14.03,--,ON,"HDIL Residency Bus Stop, Narangi Bypass Rd, Dongarpada, Rustomjee Global City, Virar West, Virar, Maharashtra (SE)"
MH48J553 Z8,--,RTSVVMC,19.444885,72.8211499,ON,D,Compactor,21-10-2024 09:51:53,21-10-2024 09:51:53,STOP,FMB920,13,352016706543154,15035989,1.3 km from Police chouki pragati Nagar,--,OFF,--,331,--,13.06,--,ON,"Gurukrupa Hospital, A Wing Darshan Nagar, Manvelpada Rd, Ekvira Darshan, Virar East, Virar, Maharashtra (SE)"
Mh04CG6399 Z18,--,SWM,19.3454633,72.81478,ON,I,Crane,21-10-2024 09:51:22,21-10-2024 09:51:23,RUNNING,FMB920,10,352016706590445,10454309,--,--,ON,--,211,--,13.59,--,ON,"Church View Apartment, Satma Devi, Dandoli, Vasai West, Mulgaon, Maharashtra (SW)"
MH04B1418 Z13,--,RTSVVMC,19.4029716,72.8594666,ON,F,Forklift,21-10-2024 09:51:55,21-10-2024 09:51:56,RUNNING,FMB920,7,352016706590478,5040924,--,--,ON,--,16,--,14.26,--,ON,"Nidhi Industrial Complex, Sativali Rd, 16, Sativali Rd, Phase 2, Golani Naka, Vasai East, sativli, Maharashtra (SW)"
MH48AY240 Z8,--,SWM,19.4022083,72.859365,ON,A,Compactor,21-10-2024 09:51:59,21-10-2024 09:51:59,IDLE,FMB920,0,352016706553864,5930272,--,--,ON,--,170,--,27.52,--,ON,"KGN Rukaya Shop, Golani Naka, Vasai East, Rajavali, Maharashtra (SE)"
Mh43E2233 Z18,--,RTSVVMC,19.3461949,72.797895,ON,I,Forklift,21-10-2024 09:51:44,21-10-2024 09:51:44,RUNNING,FMB920,0,352016706570389,10364787,--,--,ON,--,119,--,13.4,--,ON,"Nadbramba Complex, Padrikhan Wadi, Vasai West, Vasai-Virar, Maharashtra (NW)"
MH48Y238,--,SWM,19.4114166,72.825265,ON,D,Compactor,21-10-2024 09:52:00,21-10-2024 09:52:00,IDLE,FMB920,0,352016706611639,5040218,2.01 km from Rehan Medical,--,ON,--,314,--,27.27,--,ON,"Festival Complex Cooperative Housing Society, Achole Rd, Neminath Nagar, Moregaon Talao, Ambawadi, Nalasopara East, Nala Sopara, Maharashtra (NE)"
MH48CB0115,--,SWM,19.4284916,72.8224466,ON,E,Forklift,21-10-2024 09:51:56,21-10-2024 09:51:56,STOP,FMB920,11,352016706610169,153978,0.51 km from Raj palace masjid,--,OFF,--,196,--,12.93,--,ON,"Divine Life High School, Virar Rd, Near Municipal Hospital, Damodar Nagar, Indiranagar, Nala Sopara, Maharashtra (NW)"
MH48C0049,--,RTSVVMC,19.4031749,72.8595333,ON,A,Forklift,21-10-2024 09:51:59,21-10-2024 09:51:59,IDLE,FMB920,0,352016706553898,7038630,--,--,ON,--,33,--,27.7,--,ON,"Nidhi Industrial Complex, Sativali Rd, 16, Sativali Rd, Phase 2, Golani Naka, Vasai East, sativli, Maharashtra (SW)"
MH48C0080,--,SWM,19.4498249,72.8051033,ON,A,Forklift,21-10-2024 09:51:59,21-10-2024 09:51:59,STOP,FMB920,0,352016706554029,4916690,2.49 km from Raj palace masjid,--,OFF,--,185,--,13.03,--,ON,"Abhuday Maternity Home, 1 Prerna Building, Octroi Naka, Kamanwala Nagar, Virat Nagar, Virar West, Virar, Maharashtra (NW)"
MH48AY0235,--,RTSVVMC,19.4692216,72.8018766,ON,RTSVVMC,CamperVan,21-10-2024 09:51:29,21-10-2024 09:51:30,RUNNING,FMB920,7,352016706671567,18347469,--,--,ON,--,333,--,27.39,--,ON,"FRESH CATCH, GLOBLE CITY, Virar West, Virar, Maharashtra (SE)"
MH04CB0116,--,SWM,19.445715,72.8848766,ON,F,Forklift,21-10-2024 09:52:00,21-10-2024 09:52:01,IDLE,FMB920,0,352016709171151,7892689,--,--,ON,--,339,--,14.15,--,ON,"Bilal Sunni Masjid And Madrasa, Pelhar, Maharashtra (SE)"
MH48C371,--,RTSVVMC,19.45014,72.8067883,ON,RTSVVMC,CamperVan,21-10-2024 09:52:00,21-10-2024 09:52:00,IDLE,FMB920,0,352016709171623,3276668,"1.21 km from GAGANGIRI COMP(RANPADA), BOLINJ, VIRAR (W)",--,ON,--,159,--,14.4,--,ON,"Ayappa Temple Virar West, Virar,, Kamanwala Nagar, Virat Nagar, Virar West, Virar, Maharashtra (NW)"
MH48J0760,--,SWM,19.3845966,72.83365,ON,A,Crane,21-10-2024 09:51:55,21-10-2024 09:51:55,STOP,FMB920,0,352016706670924,4491592,--,--,OFF,--,134,--,12.25,--,ON,"Chrome Ro System, Shop No 19, Tirupati Trade Center Navghar Vasai Station Rd, Navghar Rd, Navghar Road, Samarth Krupa Nagar, Vasai East, Navghar-Manikpur, Maharashtra (SE)"
MH48C0054,--,SWM,19.4365366,72.8652266,ON,F,Compactor,21-10-2024 09:51:52,21-10-2024 09:51:52,IDLE,FMB920,0,352016706301926,3986106,--,--,ON,--,159,--,28.48,--,ON,"Pelhar Rd, Wakanpada, Nalasopara East, Dhaniv, Maharashtra (SW)"
MH48C0287,--,SWM,19.4592816,72.7684083,ON,A,Crane,21-10-2024 09:51:57,21-10-2024 09:51:57,IDLE,FMB920,0,352016707298055,7289845,--,--,ON,--,94,--,14.15,--,ON,"Dhobi Talav, Kolhapurwadi, Agashi, Virar West, Virar, Maharashtra (NW)"
5755120532307,--,RTSVVMC,19.4052466,72.8316283,ON,RTSVVMC,CamperVan,21-10-2024 09:51:52,21-10-2024 09:51:52,IDLE,FMB920,0,352016708224043,5501567,--,--,ON,--,237,--,27.78,--,ON,"Shri. N.K.D. Charitable Trusts Nalasopara Ayurved College, Serve No 112, Medical College Road, Achole, Nalasopara, Vasai, Agrawal Nagri, Vasant Nagari, Vasai East, Thane, Maharashtra (SE)"
MH48G1510 Z5,--,SWM,19.4512716,72.8245083,ON,D,Crane,21-10-2024 09:52:00,21-10-2024 09:52:01,RUNNING,FMB920,15,352016706464906,2823626,2.27 km from Raj palace masjid,--,ON,--,61,--,14.22,--,ON,"Shree Swami Samarth Mandir, Swami Samartha Nagar, Virar East, Virar, Maharashtra (NW)"
MH48BM9475,--,MEDICAL DEPT,19.3318283,72.8028099,ON,I,CamperVan,21-10-2024 09:50:54,21-10-2024 09:50:55,STOP,FMB920,0,352592571522754,15371999,--,--,OFF,--,246,--,13.11,--,ON,"JIVDANI MATIMAND SCHOOL, Pachu Bandar Rd, Police Colony, Vasai West, Vasai-Virar, Maharashtra (SW)"
MH48BM7152,--,MEDICAL DEPT,19.4316133,72.8234783,ON,B,CamperVan,21-10-2024 09:51:01,21-10-2024 09:51:01,RUNNING,FMB920,7,352592572818748,3180820,--,--,ON,--,217,--,14.25,--,ON,"Shop no. 7, Janki Apt. Nagindas pada market, opp. Nutan vidhyalaya, Nalasopara East, Nala Sopara, Maharashtra (NE)"
MH48BM7148,--,MEDICAL DEPT,19.4291816,72.846555,ON,F,CamperVan,21-10-2024 09:50:59,21-10-2024 09:50:59,RUNNING,FMB920,7,352016708028220,3410936,--,--,ON,--,219,--,14.35,--,ON,"Bilalpada, Hawai Pada, Nalasopara East, Bilalpada, Maharashtra (NW)"
MH48BM7003,--,MEDICAL DEPT,19.4489149,72.8747816,ON,F,CamperVan,21-10-2024 09:50:58,21-10-2024 09:50:58,RUNNING,FMB920,6,352592572741387,4707644,--,--,ON,--,124,--,14.48,--,ON,"Manokamna Siddh Hanuman Mandir,, Wakanpada, Nalasopara East, Nala Sopara, Maharashtra (NE)"
MH48BM7001,--,MEDICAL DEPT,19.3521449,72.8497983,ON,G,CamperVan,21-10-2024 09:50:58,21-10-2024 09:50:59,RUNNING,FMB920,16,352016708084397,4837974,--,--,ON,--,276,--,14.47,--,ON,"Amol Nagar, Naigaon East, Maharashtra (NE)"
MH48BM7143,--,MEDICAL DEPT,19.4737833,72.80506,ON,A,CamperVan,21-10-2024 09:51:01,21-10-2024 09:51:01,RUNNING,FMB920,17,352592571520576,3553478,--,--,ON,--,75,--,13.86,--,ON,"Arainas Annapoorna, Rustomjee Globalcity, Avenue-H, Bldg No-9, Shop No 33 -35, Evershine Globle City, Dongarpada, Rustomjee Global City, Virar West, Virar, Maharashtra (SE)"
MH48AY8101,--,FIRE DEPT,19.4737233,72.8407216,ON,D,Corner Fire,21-10-2024 09:50:53,21-10-2024 09:50:54,RUNNING,FMB920,7,352016707607990,1188507,--,--,ON,--,340,--,13.36,--,ON,"Sai Sagar Hotel, Shop No.5, Codai Apt., F Blg., Parmatma park, Virar East, Chandansar, Mumbai, Maharashtra (NE)"
MH48CB0230 Z18,--,SWM,19.3380433,72.8057733,ON,A,Truck,21-10-2024 09:50:53,21-10-2024 09:50:53,RUNNING,FMB920,7,352016706593290,5447894,--,--,ON,--,147,--,14.59,--,ON,"Laxmi Narayan Mandir, bhanda Ali, Koliwada, Vasai West, Vasai-Virar, Maharashtra (SE)"
MH48CB0227,--,SWM,19.4159083,72.8531883,ON,F,Crane,21-10-2024 09:50:52,21-10-2024 09:50:52,IDLE,FMB920,0,352016706666245,7079290,--,--,ON,--,242,--,14.12,--,ON,"State Bank of India, Gavraipada Rd, Gaonraipada, Golani Naka, Vasai East, Vasai-Virar, Maharashtra (NE)"
MH48CB1389,--,SWM,19.4576033,72.814725,ON,C,CamperVan,21-10-2024 09:50:59,21-10-2024 09:51:00,IDLE,FMB920,0,352016706569324,3453453,--,--,ON,--,196,--,13.81,--,ON,"Mataji Krupa Complex, D/3, Phoolpada Rd, Metro Colony, Virar East, Virar, Maharashtra (NE)"
MH04FP2135,--,RTSVVMC,19.4495016,72.7980266,ON,RTSVVMC,CamperVan,21-10-2024 09:51:00,21-10-2024 09:51:00,RUNNING,FMB920,8,352016706609377,7079807,"0.29 km from GAGANGIRI COMP(RANPADA), BOLINJ, VIRAR (W)",--,ON,--,352,--,27.65,--,ON,"Hotel Saideep Family Restaurant And Bar, Viva Vedganga Complex, Ground Floor, Gokul Township, Gokul Twp, Virar West, Maharashtra (NE)"
MH48C0082,--,SWM,19.4348666,72.7829999,ON,A,Forklift,21-10-2024 09:50:53,21-10-2024 09:50:53,RUNNING,FMB920,0,352016706664679,7607143,--,--,ON,--,181,--,13.61,--,ON,"St. Joseph High School and Junior College, Torbhat, Nandakhal, Virar West, Virar, Maharashtra (SW)"
MH48CQ0648,--,SWM,19.4514766,72.8007383,ON,A,CamperVan,21-10-2024 09:50:55,21-10-2024 09:50:55,IDLE,FMB920,0,352016706543287,2245585,2.92 km from Raj palace masjid,--,ON,--,206,--,14.29,--,ON,"State Bank of India, Sandeep House, Phase 1, Tirupati Nagar, Virar West, Virar, Maharashtra (SE)"
MH49C0292,--,SWM,19.4637016,72.8494016,ON,C,Forklift,21-10-2024 09:50:53,21-10-2024 09:50:54,STOP,FMB920,6,352016706551041,1253661,--,--,OFF,--,347,--,12.9,--,ON,"ISKCON VIRAR and GAUSHALA: Shri Shri Radha Brajsundarji Temple, Virar East., Virar Kaner Road, Hare Krsna Land, Bhatpada, Virar East, Virar, Maharashtra (SE)"
MH04FJ6600,--,SWM,19.4534433,72.8050283,ON,A,Crane,21-10-2024 09:50:59,21-10-2024 09:50:59,IDLE,FMB920,0,352016706570363,8832999,--,--,ON,--,24,--,26.22,--,ON,"Masjid and Madarsa Talimul Quran, Tarannum apartment, Doghar Pada, Tirupati Nagar Phase II, Vartak Ward, Virar West, Virar, Maharashtra (SW)"
MH28D3300 Z12,--,SWM,19.4028366,72.8593866,ON,F,Forklift,21-10-2024 09:50:48,21-10-2024 09:50:48,STOP,FMB920,0,352016706590817,5626261,--,--,OFF,--,197,--,12.99,--,ON,"Nidhi Industrial Complex, Sativali Rd, 16, Sativali Rd, Phase 2, Golani Naka, Vasai East, sativli, Maharashtra (SW)"
MH48J0206,--,SWM,19.4167616,72.8194333,ON,D,Compactor,21-10-2024 09:50:09,21-10-2024 09:50:10,IDLE,FMB920,0,352016706543303,610375,1.63 km from Rehan Medical,--,ON,--,326,--,13.28,--,ON,"Arihant Shopping Centre, Nalasopara Station Road, Moregaon Talao, Oswal Nagari, Nalasopara East, Nala Sopara, Maharashtra (SE)"
MH48AY372 Z15,--,SWM,19.410645,72.8786416,ON,G,Compactor,21-10-2024 09:50:51,21-10-2024 09:50:52,RUNNING,FMB920,13,352016706609963,3965568,--,--,ON,--,254,--,27.46,--,ON,"Tungareshwar Mandir Road, Vasai, Tungar Galli, Tungarfata, Golani Naka, Vasai East, Shinde, Maharashtra (NE)"
MH02CE8389,--,RTSVVMC,19.3933833,72.7895366,ON,RTSVVMC,CamperVan,21-10-2024 09:50:25,21-10-2024 09:50:26,STOP,FMB920,0,352016706570223,6931508,--,--,OFF,--,206,--,13.2,--,ON,"Sun City Line, Bhuigaon, Nalasopara West, Nala Sopara, Maharashtra (SE)"
MH48G0599,--,SWM,19.4715833,72.8193533,ON,C,Forklift,21-10-2024 09:50:52,21-10-2024 09:50:52,STOP,FMB920,0,352016706554102,5169312,--,--,OFF,--,155,--,13.15,--,ON,"Quater Deck Restaurant And Bar, Narangi Bypass Road, Veer Savarkar Marg, Sai Nath Nagar, Virar East, Virar, Maharashtra (SW)"
MH04FJ7470,--,SWM,19.38188,72.8205433,ON,H,Crane,21-10-2024 09:50:54,21-10-2024 09:50:54,IDLE,FMB920,0,352016706590544,6969337,--,--,ON,--,97,--,27.05,--,ON,"DAGORA FOODS PRIVATE LIMITED, Shop No 4/5/6, IRIS CHSL, Mirchandani Gardens , Sun City, 100 Feet Rd, Navghar, Vasai West, Vasai-Virar, Maharashtra (SE)"
MH48AY245 Z17,--,SWM,19.3800366,72.81581,ON,H,Compactor,21-10-2024 09:51:00,21-10-2024 09:51:00,RUNNING,FMB920,0,352016706590460,7277560,--,--,ON,--,59,--,27.43,--,ON,"PARIBHRAMAN of Indian Soil, Chulna Rd, Chulne, Vasai West, Vasai (w), Maharashtra (NW)"
MH48J495 Z3,--,SWM,19.392445,72.7823016,ON,B,Compactor,21-10-2024 09:50:56,21-10-2024 09:50:57,RUNNING,FMB920,0,352016706543295,7596069,--,--,ON,--,77,--,14.29,--,ON,"Gass Phata Bus Stop, Gass Rd, Bhuigaon, Nalasopara West, Nala Sopara, Maharashtra (SW)"
MH04BU7735,--,SWM,19.4372933,72.8117016,ON,E,Crane,21-10-2024 09:50:54,21-10-2024 09:50:54,STOP,FMB920,7,352016706543139,8579393,0.98 km from Raj palace masjid,--,OFF,--,22,--,12.73,--,ON,"Riddhi Vinayak Multispeciality Hospital, Plot No. 302, Near Railway Carshed Yeshwant Gaurav Road, Nalasopara West, Nala Sopara, Maharashtra (NE)"
MH48G0588,--,SWM,19.45542,72.80952,ON,A,Crane,21-10-2024 09:51:00,21-10-2024 09:51:00,RUNNING,FMB920,11,352016706543386,4799058,--,--,ON,--,10,--,13.79,--,ON,"Sanjivani Hospital, Vartak Ward, Virar West, Vartak Ward, Virar West, Virar, Maharashtra (NW)"
MH04BU9930,--,RTSVVMC,19.412565,72.81404,ON,RTSVVMC,CamperVan,21-10-2024 09:50:43,21-10-2024 09:50:44,IDLE,FMB920,0,352016706590379,1274027,1.91 km from U. S. School,--,ON,--,86,--,27.79,--,ON,"Mobile, Hanuman Nagar, Lakshmiben Chedda Nagar, Nalasopara West, Nala Sopara, Maharashtra (SW)"
MH04BU7734,--,SWM,19.4030083,72.8595116,ON,D,Forklift,21-10-2024 09:50:51,21-10-2024 09:50:51,STOP,FMB920,8,352016706554052,4544437,--,--,OFF,--,25,--,11.72,--,ON,"Nidhi Industrial Complex, Sativali Rd, 16, Sativali Rd, Phase 2, Golani Naka, Vasai East, sativli, Maharashtra (SW)"
MH48CB0218,--,SWM,19.46826,72.8100816,ON,A,Forklift,21-10-2024 09:50:43,21-10-2024 09:50:44,IDLE,FMB920,0,352016706554037,7577219,--,--,ON,--,163,--,14.31,--,ON,"HDIL Residency Bus Stop, Narangi Bypass Rd, Dongarpada, Rustomjee Global City, Virar West, Virar, Maharashtra (SE)"
MH48J553 Z8,--,RTSVVMC,19.4435683,72.8222616,ON,D,Compactor,21-10-2024 09:50:59,21-10-2024 09:50:59,STOP,FMB920,11,352016706543154,15035791,1.2 km from Police chouki pragati Nagar,--,OFF,--,319,--,12.88,--,ON,"Manvel Pada, Ekvira Darshan, Virar East, Virar, Maharashtra (SE)"
Mh04CG6399 Z18,--,SWM,19.3455216,72.81486,ON,I,Crane,21-10-2024 09:50:55,21-10-2024 09:50:56,RUNNING,FMB920,8,352016706590445,10454294,--,--,ON,--,217,--,13.61,--,ON,"Church View Apartment, Satma Devi, Dandoli, Vasai West, Mulgaon, Maharashtra (SW)"
